Crop_Type,Soil_pH,Soil_Moisture,Temperature_C,Rainfall_mm,Fertilizer_Usage_kg,Pesticide_Usage_kg,Crop_Yield_ton,Market_Price_per_ton,Demand_Index,Supply_Index,Competitor_Price_per_ton,Economic_Indicator,Weather_Impact_Score,Seasonal_Factor,target
3,7.118936031138276,39.93051447419177,16.860750963071077,84.54924497731318,164.31131203228432,15.554196547679735,3.972323638887811,238.9007672337891,134.67894201418173,129.02142626305303,390.11611826119946,1.406601280791831,64.12304003023968,1,139.46797233632412
2,5.501289366637177,39.23900188852693,29.05230795793292,149.52574772814862,194.6765898419734,11.11541739077672,6.495562850016302,485.8121256511324,151.8689060265392,133.94037774383202,207.7503189521761,1.03515425063526,39.79247803231595,2,102.913392424534
2,6.977665962678815,33.55599030236984,16.12612742497922,234.36132507882263,152.34191652368764,15.560715723503478,7.773257527413918,404.117305135953,152.8247165924825,134.42123100048383,488.09878803145807,0.6101493387435608,88.69549030611118,2,135.5667692071437
0,5.694499515949444,22.734512177605364,27.23513814302009,196.9628661973137,63.73798840464593,10.927449126745636,3.6152783113899583,301.4621671678068,178.2845891671505,169.2798299453574,384.444198398472,1.1709676235596698,67.03852782278747,1,66.83247422082488
3,6.660333961001843,48.18163956347296,30.268340578946816,279.14759324509794,127.87282546525826,2.15062608981088,8.25935621954526,163.58972549087417,63.368997315294365,156.22304817926386,133.31129755116172,0.5951274000411619,58.63478415961797,1,134.118770570879
2,7.380108428762279,20.02995797343747,30.400613288947163,109.91952520112228,59.61500128536129,12.875023510251218,1.094468129682062,145.89493207871405,115.73731320118364,88.94283834097463,124.91385879501756,1.4614836021528417,71.25422747691837,1,100.42999571123865
3,7.197859351395837,37.67208525529382,31.421894494330907,142.17209357465836,95.07600632861188,7.235564338411588,3.7086094714702487,207.85624027869733,60.21633696815634,124.71956751306058,249.94206826061065,1.3213702054015548,3.292981489518698,1,54.5389129000267
1,6.810533787693909,32.43374328767001,20.34151115841159,152.69687214959265,174.93883117483875,14.829738266155594,6.008118990658338,162.1315629738687,79.01933273658,84.8163765642459,145.81843841384358,1.1627591618082302,1.120256942527098,0,141.76246220120453
1,6.784908568142202,34.776299155270834,29.08793439401316,73.60376042956788,165.8041597443157,7.70444656674911,7.150241170509428,214.85522752815984,197.3654516454777,55.06028825137884,287.378814164588,0.5663199427968131,70.18142052060283,2,51.34997320755896
0,5.955341903002154,29.783150123708573,17.50292292062162,193.9971444718481,182.6445510482696,15.433141515268565,5.570653235534013,382.59593469135206,181.80153996672627,61.77709253315034,212.35947144104367,1.3489409016177103,47.59153989331082,1,83.95782690196211
3,6.317696471741823,23.526034862436905,27.6194140675808,277.86184930041327,73.09356382461367,12.3154241402719,5.946067204888018,411.0493309807324,169.1190892209682,190.23595471244812,409.2540307097182,1.1344008163088732,45.43410855471949,1,128.98066343114087
0,7.242005028678292,26.086364272905023,33.27639787320469,200.5509892346584,145.29476816052193,12.178784937992544,6.691757251539385,156.469023770486,64.39522256593338,111.95065555624774,347.8752566511548,1.4261374054735627,35.18190470235728,2,53.47932225384483
0,7.183580668937988,22.017115722480646,16.742761635493984,139.670983625397,89.39138181891508,19.095371667106,8.153866160312448,403.4714419892297,139.50059304278028,186.97969684083952,190.876814335606,1.4812399543708905,60.901947564445805,0,132.60994530013892
2,7.408422879615863,14.80024733591354,33.3644053522805,175.57642881508792,161.7322664204977,13.950775502046232,3.5339314063506526,273.96761318829635,106.4300082469759,107.46749803884276,114.31124630896872,1.1669179745706666,71.16859388051505,2,131.10585840734416
2,5.606254800699934,26.86588286062962,18.873454987994165,287.65100106362115,65.1006696025551,4.919065389817762,6.775450137529128,413.3962180364404,101.87286144488309,152.685579151615,301.958715502762,0.8747532018799055,11.945488583814043,0,61.35763904142962
2,5.911523579151144,21.74938303437706,27.04972928304368,264.9070004043861,182.90562334205305,5.554677059962457,6.860100819765046,368.1180715087183,160.19276229373264,170.05885989659993,286.6058479154509,1.3935657170746416,15.69051105671787,1,124.75025180465788
3,7.456454164000116,18.27423976619724,30.3666495669258,215.3674621074832,85.29622146904265,16.919458559988588,9.70688976652481,185.6557249581735,59.85078914726087,129.95996414517953,280.8871542308458,0.8552377920249743,47.677364397088354,1,144.70056065662004
1,5.871030660323363,33.03387649807796,23.46357875087544,151.35782384165202,175.18013667383482,2.6677567706233942,3.059550193421436,181.90791439095364,147.02989398233427,179.93318838918614,491.28779413409126,0.8211617744525851,31.979493498651426,2,83.63549391200246
1,7.235148086959866,41.40643759007766,25.429679714618004,105.83733067769587,85.69100442314324,10.789864535275845,7.307916485588598,156.66167263190783,186.62128901436773,172.8850955277823,490.5038698400992,0.8728564686859225,28.57438380316017,2,107.77178608918912
3,6.69318808934973,38.62224509870676,34.55660667287995,236.49585647536605,170.38106766728566,15.369981537109112,9.248181784719984,387.7655742636725,105.42254673241366,160.42033490333998,361.8994053858685,0.77668951003525,23.120594783888315,2,109.97136598864094
0,7.426595062802723,41.223090962175874,24.10739668429729,87.3854166438177,158.81236956182687,1.7436898526519595,7.989098490720717,307.6822578146981,132.72165867957204,171.01592082897167,120.91372524854344,0.5843124583949567,60.82023236083455,1,134.74103464557635
